BHID,XCOLLAR,YCOLLAR,ZCOLLAR,DEPTH,COMMENTS
BH01,352724,2247608,217.13,128,GSI
BH02,352713,2247407,222.6,105.05,GSI
BH03,352658,2247516,217.346,180.05,GSI
BH04,352624,2247318,213.59,177,GSI
BH05,352599.85,2247118.63,213.76,179.5,GSI
BH06,352694,2248376,219.937,204,GSI
BH07,352697,2248576,220.283,190,GSI
BH08,352701,2248175,218.61,197,GSI
BH09,352681,2247953,218.432,198.3,GSI
BH10,352680,2247714,215.509,188,GSI
BH11,352681.918,2248777.166,221.505,204,GSI
BH12,352691.161,2248976.035,220.9,180,GSI
BH13,352626.369,2249369.261,219.779,180,GSI
BH14,352671.115,2249175.463,219.557,180,GSI
BH15,352634.573,2248376.142,218.336,300,GSI
