X,Y,Z
352194.96,2250328.28,0.0
352232.53,2250330.29,0.0
352254.16,2250321.93,0.0
352282.5,2250324.44,0.0
352305.45,2250316.12,0.0
352335.27,2250301.82,0.0
352347.81,2250297.04,0.0
352351.73,2250273.71,0.0
352357.48,2250257.27,0.0
352362.85,2250228.0,0.0
352376.71,2250194.19,0.0
352378.61,2250176.54,0.0
352376.63,2250159.87,0.0
352374.2,2250146.47,0.0
352372.61,2250120.34,0.0
352375.81,2250108.03,0.0
352380.9300000001,2250098.53,0.0
352383.95,2250093.73,0.0
352379.67,2250085.81,0.0
352372.66,2250088.85,0.0
352357.75,2250116.06,0.0
352345.47,2250125.4,0.0
352337.65,2250140.73,0.0
352328.21,2250154.01,0.0
352322.77,2250166.2,0.0
352311.58,2250179.03,0.0
352299.32,2250195.24,0.0
352291.6,2250202.29,0.0
352258.6,2250240.52,0.0
352224.27,2250272.79,0.0
352210.14,2250298.54,0.0
352194.96,2250328.28,0.0
352664.0184692721,2249520.965893588,0.0
352661.9029033785,2249541.019419324,0.0
352663.2462552332,2249547.736178598,0.0
352656.5550986727,2249560.708037582,0.0
352655.8242115212,2249564.375442186,0.0
352649.5355719352,2249581.145147748,0.0
352638.5081811995,2249600.192459019,0.0
352630.6423834544,2249619.856953382,0.0
352615.0,2249643.0,0.0
352621.3576165456,2249616.143046618,0.0
352629.4918188005,2249595.807540981,0.0
352640.4644280648,2249576.854852252,0.0
352646.1757884788,2249561.624557814,0.0
352647.0229013274,2249557.373962419,0.0
352652.7537447668,2249546.263821402,0.0
352652.0970966215,2249542.980580676,0.0
352664.0,2249521.0,0.0
352687.743,2249466.269,0.0
352687.0,2249462.0,0.0
352700.0,2249413.0,0.0
352706.0,2249429.0,0.0
352694.0,2249464.0,0.0
352687.743,2249466.269,0.0
352746.965,2249210.674,0.0
352774.614,2249199.666,0.0
352772.381,2249188.024,0.0
352776.117,2249175.814999999,0.0
352778.0,2249174.0,0.0
352777.5930000001,2249155.916,0.0
352771.0,2249147.0,0.0
352755.0,2249147.0,0.0
352746.16,2249159.422,0.0
352742.364,2249172.547,0.0
352740.771,2249193.211,0.0
352746.965,2249210.639893588,0.0
352803.5136604756,2248140.523423923,0.0
352808.3,2248199.432,0.0
352805.0,2248230.0,0.0
352811.0,2248268.0,0.0
352809.0,2248350.0,0.0
352803.0,2248356.0,0.0
352799.0,2248371.0,0.0
352790.0,2248388.0,0.0
352795.0,2248401.0,0.0
352794.0,2248411.0,0.0
352803.0,2248436.0,0.0
352800.0,2248461.0,0.0
352800.0,2248465.0,0.0
352801.0,2248473.0,0.0
352804.0,2248482.0,0.0
352802.0,2248497.0,0.0
352801.0,2248511.0,0.0
352797.0,2248529.0,0.0
352796.0,2248542.0,0.0
352795.0,2248555.0,0.0
352800.0,2248564.0,0.0
352801.0,2248580.0,0.0
352791.0,2248595.0,0.0
352795.0,2248605.0,0.0
352797.0,2248636.0,0.0
352785.6519999999,2248672.977,0.0
352785.696,2248685.398,0.0
352783.586,2248698.049,0.0
352778.879,2248713.422,0.0
352768.0,2248725.0,0.0
352766.0,2248744.0,0.0
352761.0,2248775.0,0.0
352763.0,2248792.0,0.0
352762.0,2248806.0,0.0
352758.0,2248827.0,0.0
352754.0,2248848.0,0.0
352755.0,2248867.0,0.0
352755.0,2248882.0,0.0
352749.0,2248895.0,0.0
352744.0,2248913.0,0.0
352761.0,2248951.0,0.0
352767.0,2248969.0,0.0
352777.0,2249002.0,0.0
352810.206,2248968.952,0.0
352820.7930000001,2248890.072,0.0
352813.877,2248871.969,0.0
352817.706,2248861.024,0.0
352816.478,2248832.294,0.0
352817.649,2248796.007,0.0
352827.575,2248784.167,0.0
352831.927,2248771.936,0.0
352822.487,2248754.505,0.0
352825.338,2248746.872,0.0
352817.571,2248728.979,0.0
352821.805,2248706.889,0.0
352815.082,2248693.255,0.0
352818.046,2248689.045,0.0
352821.174,2248652.115,0.0
352813.0,2248640.0,0.0
352824.0,2248601.0,0.0
352824.0,2248588.0,0.0
352829.0,2248579.0,0.0
352838.0,2248558.0,0.0
352842.0,2248541.0,0.0
352839.0,2248521.0,0.0
352830.0,2248500.0,0.0
352834.0,2248487.0,0.0
352833.0,2248473.0,0.0
352830.0,2248455.0,0.0
352835.0,2248441.0,0.0
352837.0,2248405.0,0.0
352839.0,2248371.0,0.0
352842.0,2248337.0,0.0
352841.0,2248315.0,0.0
352839.0,2248291.0,0.0
352832.0,2248271.0,0.0
352828.0,2248252.0,0.0
352821.0,2248217.0,0.0
352817.0,2248197.0,0.0
352818.4587908969,2248139.214864116,0.0
352814.634203335,2248102.881282278,0.0
352822.9386756468,2248079.005924381,0.0
352813.3445684919,2248051.289614823,0.0
352812.4080955868,2248043.797831582,0.0
352800.6590205872,2247985.052456584,0.0
352806.6982128673,2247956.869559277,0.0
352802.4167022053,2247939.743516629,0.0
352794.730287105,2247855.192950527,0.0
352797.6987051892,2247851.235059748,0.0
352787.0,2247790.0,0.0
352782.4446449594,2247846.573806721,0.0
352779.2697128949,2247850.807049473,0.0
352787.5832977947,2247942.256483371,0.0
352791.3017871327,2247957.130440723,0.0
352785.3409794128,2247984.947543416,0.0
352797.5919044132,2248046.202168418,0.0
352798.6554315081,2248054.710385177,0.0
352807.0613243532,2248078.994075619,0.0
352799.365796665,2248101.118717722,0.0
352803.5412091031,2248140.785135884,0.0
352690.5097568133,2247200.315581393,0.0
352721.4400429431,2247349.333759244,0.0
352731.3726637424,2247367.227245211,0.0
352724.5588462459,2247413.595551767,0.0
352734.4475357084,2247447.603547223,0.0
352743.9957137436,2247463.694862691,0.0
352745.548008511,2247485.045965056,0.0
352745.2611439228,2247589.489787896,0.0
352735.339,2247610.28,0.0
352753.749,2247682.807,0.0
352759.782,2247702.21,0.0
352762.198,2247681.725,0.0
352808.622,2247569.982,0.0
352815.6079999999,2247516.745,0.0
352802.8122862565,2247445.23913731,0.0
352789.9344642916,2247423.536452776,0.0
352785.8211537541,2247409.390448232,0.0
352793.6873362577,2247355.86075479,0.0
352778.3319570569,2247328.198240757,0.0
352748.7002431867,2247185.436418606,0.0
352719.6228326295,2247082.4655312244,0.0
352707.6033503172,2246945.2325644433,0.0
352664.87888673355,2246950.3497327366,0.0
352674.4791199995,2247030.8089101883,0.0
352693.588815466,2247198.5588767654,0.0
